Date,Income,Expenses,Department,Region,Customer_Satisfaction_Score,Transaction_Count,Profit
2021-09-06,13967,8656,HR,South,4,258,5311
2022-10-27,37488,17709,Operations,North,1,298,19779
2021-11-06,23211,11786,Sales,North,6,52,11425
2023-12-13,31169,5693,Sales,North,2,38,25476
2021-02-23,40373,26185,Finance,East,4,387,14188
2020-10-02,42669,13209,Sales,South,5,153,29460
2021-08-30,16634,8709,Operations,South,8,333,7925
2021-07-24,10840,24154,Marketing,West,3,216,-13314
2020-03-30,44229,22414,Operations,West,6,446,21815
2020-10-08,31318,25859,Operations,East,1,223,5459
2023-04-09,25405,19843,IT,North,9,143,5562
2021-09-29,46240,9209,Sales,West,1,454,37031
2022-03-21,25847,28379,HR,South,2,105,-2532
2023-10-10,33547,19846,Finance,West,1,10,13701
2023-05-12,16575,23003,Marketing,North,8,457,-6428
2023-08-05,40123,15088,HR,East,4,242,25035
2022-05-17,14843,23900,IT,North,2,489,-9057
2021-04-06,37451,17380,IT,West,7,376,20071
2022-01-19,17739,14707,Marketing,East,8,383,3032
2023-04-11,24852,29379,HR,East,9,114,-4527
2020-10-27,19157,22509,Marketing,North,5,233,-3352
2021-08-22,32406,11906,Marketing,West,3,69,20500
2021-06-12,17432,20895,Sales,North,1,365,-3463
2020-05-19,28837,26988,HR,West,8,44,1849
2020-10-04,25148,24420,Sales,West,6,169,728
2021-10-24,21194,23910,Sales,South,5,211,-2716
2021-05-25,42591,20212,Finance,East,7,276,22379
2023-10-01,24819,19323,Sales,West,5,481,5496
2023-03-09,16625,5166,Operations,North,4,107,11459
2020-04-23,17404,25573,IT,North,5,421,-8169
2021-08-02,24674,12348,IT,South,7,479,12326
2023-10-21,20507,5575,Operations,South,6,167,14932
2021-11-21,30387,12171,Marketing,South,9,205,18216
2021-09-28,28697,20748,HR,East,2,119,7949
2023-11-21,47391,8343,HR,South,7,486,39048
2022-04-02,29547,23202,HR,East,1,109,6345
2022-05-24,33570,14347,Sales,South,8,454,19223
2022-07-28,49783,27407,HR,East,4,239,22376
2022-07-30,38037,14727,HR,West,8,8,23310
2023-02-08,40083,15925,HR,South,8,43,24158
2020-12-23,47982,12979,IT,East,4,394,35003
2023-06-15,49706,14154,Operations,West,4,297,35552
2020-01-03,12988,26555,Finance,South,5,132,-13567
2021-02-07,15156,10409,Marketing,West,7,206,4747
2020-01-25,48280,9541,Operations,South,6,388,38739
2021-05-23,19788,27764,HR,North,1,280,-7976
2021-11-26,24185,25244,Marketing,East,6,239,-1059
2020-03-01,28734,22898,Marketing,North,3,277,5836
2020-05-02,19971,6067,Operations,East,9,394,13904
2020-02-24,16487,22265,Operations,North,3,46,-5778
2023-04-01,30997,11909,Operations,South,9,473,19088
